run_kind,policy_step,tick_in_policy_step,tick_global,post_arrival_stabilization_tick,standoff_viewpoint_hold_tick,post_arrival_scan_tick,post_scan_recenter_tick,scan_direction,capture_phase,agent_name,planner_callback_step,planned_path_source,preset_trajectory_used,target_cell,target_world,standoff_anchor_cell,standoff_anchor_world,standoff_anchor_source,wait_applied,loc_x,loc_y,loc_z,projected_row,projected_col,projection_matches_target,arrived,distance_to_waypoint_m,heading_deg,selected_sensor,fallback_used,rgb_present,any_camera_rgb_present,rangefinder_present,any_rangefinder_hit,any_channel_rangefinder_hit,rangefinder_hit_channels,rangefinder_hit_beam_indices,rangefinder_min_positive_range_m,cmd_l,cmd_r,target_heading_deg,heading_error_deg,inter_vessel_distance_m
calibration,1,1,1,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.99993896484375,0.15194371342658997,25,2,False,False,10.00006103515625,0.13008423760418752,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,90.0,99.99987411499023
calibration,1,1,1,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.000064849853516,0.1549556702375412,35,2,False,False,10.000064849853516,359.8699157623958,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-90.0,99.99987411499023
calibration,1,2,2,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.9998016357422,0.17164219915866852,25,2,False,False,10.000198364257812,0.38700008040614253,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,89.8699157623958,99.9996109008789
calibration,1,2,2,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.00019073486328,0.1753506362438202,35,2,False,False,10.000190734863281,359.61299989291405,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-89.8699157623958,99.9996109008789
calibration,1,3,3,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,149.99961853027344,0.1893891543149948,25,2,False,False,10.000381469726562,0.7675757890660708,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,89.61299991959385,99.99923706054688
calibration,1,3,3,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-380.0,50.00038146972656,0.19307765364646912,35,2,False,False,10.000381469726562,359.23242415757784,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-89.61299989291405,99.99923706054688
calibration,1,4,4,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,149.99935913085938,0.20273420214653015,25,2,False,False,10.000640869187189,1.26871836315859,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.0,89.23242421093391,99.99872589111328
calibration,1,4,4,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,50.000633239746094,0.20587560534477234,35,2,False,False,10.000633239792657,358.7312814234503,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,270.0,-89.23242415757784,99.99872589111328
calibration,1,5,5,False,False,False,False,0,transit,sv0,True,baseline_GP_mainline_planner,False,"[24, 2]","[-380.0, 160.0, 0.0]","[21, 2]","[-380.0, 190.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,149.99905395507812,0.2105889916419983,25,2,False,False,10.000946044968435,1.8874118204284887,LocationSensor,False,False,False,True,False,False,[],[],,-8000.0,8000.0,90.00017484163769,88.73145647847912,99.99811172485352
calibration,1,5,5,False,False,False,False,0,transit,sv1,True,baseline_GP_mainline_planner,False,"[36, 2]","[-380.0, 40.0, 0.0]","[39, 2]","[-380.0, 10.0, 0.0]",baseline_GP_planner_committed_segment_lookahead,False,-379.9999694824219,50.00094223022461,0.21270890533924103,35,2,False,False,10.00094223027117,358.1125879662439,LocationSensor,False,False,False,True,False,False,[],[],,8000.0,-8000.0,269.99982515822893,-88.73145626522137,99.99811172485352
