step,robot_pos_before,sv_world_before,target_waypoint_cell,target_waypoint_world,target_world_current,target_cell_current,target_motion_ticks,target_distance_to_waypoint_m,segment_path,next_cell,next_cell_world,sv_final_world,sv_final_projected_cell,arrived,timeout,ticks,distance_to_next_cell_m,found_count_before,found_count_after,detected_count_this_step,found_mask,find_times,remaining_intensity_mass,search_info_map_peak,search_info_map_mean,replanned,replan_reason,committed_viewpoint,committed_anchor,anchor_source,target_cell_source,target_motion_source,target_motion_mode_for_policy,viewpoint_generation_mode,path_safety_mode,clue_acquisition_mode,run_label,phase_note,world
1,"[1, 1]","[-192.4792938232422, 194.6820068359375]","[20, 20]","[-100.0, 100.0]","[-98.59341430664062, 99.71333312988281, 0.17975260317325592]","[20, 20]",10,0.9273006135735142,"[[1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[1, 2]","[-190.0, 195.0]","[-192.4792938232422, 194.6820068359375, 0.1623566746711731]","[1, 2]",True,False,75,2.4996034714244866,0,0,0,[False],[None],0.9999999999999998,1.0,0.9148519323210821,True,initial_plan|commit_expired|segment_empty,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
2,"[1, 2]","[-189.9626922607422, 192.49850463867188]","[20, 20]","[-100.0, 100.0]","[-99.36361694335938, 99.63092041015625, 0.17310217022895813]","[20, 20]",10,1.4544424468607593,"[[1, 2], [2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 2]","[-190.0, 190.0]","[-189.9626922607422, 192.49850463867188, 0.16337087750434875]","[2, 2]",True,False,176,2.498783163236339,0,0,0,[False],[None],1.0,1.0,0.9420469965839596,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
3,"[2, 2]","[-187.4911346435547, 189.89944458007812]","[20, 20]","[-100.0, 100.0]","[-99.7306900024414, 99.85734558105469, 0.17787028849124908]","[20, 20]",10,0.7024987725635667,"[[2, 2], [2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 3]","[-185.0, 190.0]","[-187.4911346435547, 189.89944458007812, 0.16106417775154114]","[2, 3]",True,False,195,2.4931632928458587,0,0,0,[False],[None],1.0,1.0,0.9405179007166709,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
4,"[2, 3]","[-182.48533630371094, 189.89950561523438]","[20, 20]","[-100.0, 100.0]","[-99.86640167236328, 99.92872619628906, 0.17846158146858215]","[20, 20]",10,0.2932679894210719,"[[2, 3], [2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 4]","[-180.0, 190.0]","[-182.48533630371094, 189.89950561523438, 0.16561049222946167]","[2, 4]",True,False,207,2.4873672153329043,0,0,0,[False],[None],0.9999999999999999,1.0,0.9384408981080699,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
5,"[2, 4]","[-177.4925537109375, 189.8359375]","[20, 20]","[-100.0, 100.0]","[-99.90978240966797, 99.95188903808594, 0.1781761348247528]","[20, 20]",10,0.14771136219276385,"[[2, 4], [2, 5], [2, 6], [2, 7], [2, 8]]","[2, 5]","[-175.0, 190.0]","[-177.4925537109375, 189.8359375, 0.16573737561702728]","[2, 5]",True,False,206,2.4979472584133062,0,0,0,[False],[None],1.0000000000000002,1.0,0.9235897311520895,False,none,"[37, 38]","[40, 40]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
6,"[2, 5]","[-172.49407958984375, 189.83358764648438]","[20, 20]","[-100.0, 100.0]","[-99.92374420166016, 99.95933532714844, 0.17817258834838867]","[20, 20]",10,0.10104953566987973,"[[2, 5], [2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 6]","[-170.0, 190.0]","[-172.49407958984375, 189.83358764648438, 0.1662042737007141]","[2, 6]",True,False,206,2.4996251862784904,0,0,0,[False],[None],1.0000000000000002,1.0,0.936571742650439,True,commit_expired,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
7,"[2, 6]","[-167.48179626464844, 189.83059692382812]","[20, 20]","[-100.0, 100.0]","[-99.9282455444336, 99.96173858642578, 0.17815671861171722]","[20, 20]",10,0.08603174557891259,"[[2, 6], [2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 7]","[-165.0, 190.0]","[-167.48179626464844, 189.83059692382812, 0.1665104776620865]","[2, 7]",True,False,207,2.487571124900639,0,0,0,[False],[None],0.9999999999999997,1.0,0.9349222335731657,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
8,"[2, 7]","[-162.4902801513672, 189.82748413085938]","[20, 20]","[-100.0, 100.0]","[-99.92967987060547, 99.9625015258789, 0.17815588414669037]","[20, 20]",10,0.0811987484996414,"[[2, 7], [2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 8]","[-160.0, 190.0]","[-162.4902801513672, 189.82748413085938, 0.16623009741306305]","[2, 8]",True,False,206,2.496248576844607,0,0,0,[False],[None],1.0,1.0,0.9339342512787149,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
9,"[2, 8]","[-157.49310302734375, 189.82395935058594]","[20, 20]","[-100.0, 100.0]","[-99.93013763427734, 99.9627456665039, 0.17815540730953217]","[20, 20]",10,0.07965940597900853,"[[2, 8], [2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 9]","[-155.0, 190.0]","[-157.49310302734375, 189.82395935058594, 0.16636475920677185]","[2, 9]",True,False,206,2.4993105079594846,0,0,0,[False],[None],1.0000000000000002,1.0,0.9328141684101805,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
10,"[2, 9]","[-152.48133850097656, 189.8214874267578]","[20, 20]","[-100.0, 100.0]","[-99.93028259277344, 99.96282196044922, 0.17810076475143433]","[20, 20]",10,0.07916439322006592,"[[2, 9], [2, 10], [2, 11], [2, 12], [2, 13]]","[2, 10]","[-150.0, 190.0]","[-152.48133850097656, 189.8214874267578, 0.16637958586215973]","[2, 10]",True,False,207,2.487751493866331,0,0,0,[False],[None],1.0000000000000002,1.0,0.9304620347220269,False,none,"[38, 39]","[41, 41]",search_info,algorithm_segment_path,holoocean_agent_proxy,static,simple_ring_v1,soft_clearance_astar_v1,ucb,dynamic_target_search_foundrun,"Phase 3C-1-found dynamic target search found-attempt run; OpenWater, target agent proxy, no HoloOcean sonar/camera.",OpenWater
